"","klasifikasi","score","text"
"881","Netral",0,"multipurpose commercial deal  btl buy  marla commercial plot  bahria town lahore  faces  famous eiff "
"882","Netral",0," early access sale    everything "
"883","Positif",1," matchday mens vwc matchday champion challenger khalifa international s"
"884","Netral",0," croatia   "
"885","Netral",0," use  "
"886","Positif",1," good day      pray      blessed day"
"887","Netral",0,"justin bieber  eiffel tower  paris france november th "
"888","Netral",0," one  reason "
"889","Positif",1,"  love u wanna go paris n kiss   eiffel tower  tiny clothes "
"890","Netral",0," cro   hashtag   bitcoin company use  "
"891","Negatif",-2," pray  dick get big   eiffel tower   can fuck  world  seventytwo hours"
"892","Netral",0,"eiffel blue da ba dee original video  subtitles "
"893","Netral",0," facts  zuck avatar   shitty eiffel tower really didnt helped thats  bad  "
"894","Netral",0," made  clay model   eiffel tower "
"895","Positif",1,"nature  powerful "
"896","Positif",1," ive    top   eiffel tower many  time "
"897","Netral",0,"eiffel  taken   long  realize  running  everyone else means  youre alone    "
"898","Netral",0,"  thought  enlistment  extended bc  changed branches "
"899","Positif",1," nah man   sbf just run  eiffel tower   bitch thats   gain  trust  get h "
"900","Negatif",-1," also bring  airpods  mosquito patch  cover  scar  mosquitos bites hopefully  minutes clips "
"901","Netral",0,"ranboo hadnt slept  went   walk toeing  outskirts   city  visiting  las nevadas rendition   eiffel tower"
"902","Netral",0," imagine   eiffel tower  "
"903","Netral",0," eiffel tower rose  front    alastair gestured        yet"
"904","Negatif",-1,"officer eiffel  know    limited vocabulary  im going  need   rub  two brain cells   "
"905","Netral",0,"now playing data rebel eiffel"
"906","Positif",3,"fresh   shop  stunning eiffel tower lamp   beautiful capiz shell shade  uk h"
"907","Netral",0," made  clay model   eiffel tower "
"908","Netral",0,"meta   metaverse  tens  billions  dollars invested september zuckerberg posted  selfie "
"909","Positif",1,"ive    top   eiffel tower many  time "
"910","Positif",1,"teresa giudice  paris chic   poses near  eiffel tour amid  trip abroad  luisruelas "
"911","Netral",0,"doggy missionary cowgirl reverse cowgirl upside  inside  one leg  two legs   public   spac "
"912","Positif",1,"ive    top   eiffel tower many  time "
"913","Netral",0," made  clay model   eiffel tower "
"914","Netral",0,"went shopping  couldnt resist  new piece eiffel tower lego set "
"915","Netral",0," dont need  go  paris  see  eiffel tower "
"916","Netral",0,"    paris  takes train pass eiffel tower  never  one day get   see  environs "
"917","Netral",0," dont need  go  paris  see  eiffel tower "
"918","Netral",0,"eiffel  comms hey minkowski im  done frying   almosthuevos rancheros"
"919","Netral",0,"points  trying eiffel except      points  trying put  hands   can see "
"920","Netral",0,"shakes  eiffel tower"
"921","Netral",0,"nnnohe said looking   eiffel tower theres   living machines  just  "
"922","Netral",0," jealous   friends abroad like bro mai subah uthke ye dekh rha hu ki pani aya ya nahi aur tum eiffel tower ap "
"923","Netral",0," made  clay model   eiffel tower "
"924","Netral",0," spider makes  eiffel tower "
"925","Netral",0,"eiffel  comms hey minkowski im  done frying   almosthuevos rancheros"
"926","Positif",1,"remember   built eiffel tower     time  need  judicial system let lights shine   "
"927","Positif",1,"   tweet   like  ones eiffel  snow "
"928","Netral",0,"went shopping  couldnt resist  new piece eiffel tower lego set "
"929","Positif",1," also took  awhile  realize   sampled eiffel s blue   great find "
"930","Positif",1," famed pingtang bridge built   completed    colossal cablesupported viaduct   span o "
"931","Positif",1,"come check   beautiful eiffel tower   shop "
"932","Netral",0,"pariss eiffel  jenlisa au  eiffel jennie   anon  always send   question   curious cat acco"
"933","Positif",1,"   top   eiffel tower "
"934","Netral",0,"  one  eiffel tower proportions"
"935","Positif",1," love  see eiffel tower france  reality sam mangubat bestperformance withsam "
"936","Netral",0," celestial marbles  indeed petite yet    towering   eiffel tower   qutub minar   greek rom"
"937","Negatif",-1," different experiences   im stuck   sucky job  can look back  smile sleeping  "
"938","Netral",0," travel plans  paused   eiffel tower   paris  end   eco park kolkata  lift   spirits hi"
"939","Positif",2,"women nowadays    much better ever since illuminati ganga turned   necrowarding generators onf  empire"
"940","Netral",0,"eagleeyed also shares eiffel tower wine  spirits  closed "
"941","Netral",0,"willy auston mitch  jt    ice    time call   mix n match dream eiffel tower"
"942","Positif",1," beyond metals  also wonder   new system  use  sovereign assets  instance     tr"
"943","Negatif",-2,"  doug eiffel transmitting   uss horrible unending nightmare signing "
"944","Netral",0," fed square gt eiffel tower"
"945","Netral",0," eiffel tower  course sam mangubat bestperformance withsam "
"946","Netral",0," celestial marbles  indeed petite yet    towering   eiffel tower   qutub minar   gr "
"947","Netral",0,"  even vaguely eiffel tower shaped"
"948","Netral",0,"eiffel tower   dreeeeaaamms "
"949","Netral",0," eiffel tower  course sam mangubat bestperformance withsam "
"950","Positif",1,"teresa giudice  chic  paris   poses  luis ruelas near  eiffel tower   trip abroad "
"951","Netral",0,"eiffel tower lighted glass block upcycled glass block paris etsy "
"952","Negatif",-1," also clear   know  know  youre   know   wrong   know   hurting people may"
"953","Netral",0,"eiffel tower france  dream destination bestperformance withsam sam mangubat "
"954","Negatif",-1," also clear   know  know  youre   know   wrong   know   hurting peopl "
"955","Netral",0,"tom yum soup  lunch "
"956","Netral",0,"just bought  eiffel tower "
"957","Negatif",-1,"whats  eiffel tower audio    ugly"
"958","Netral",0,"    mention   eiffel tower    actual evidence  prove  eiffe "
"959","Negatif",-2,"   lmk   eiffel tower  finished    dumb joke get triggered though "
"960","Netral",0,"   splatlands us  north america    eiffel tower "
"961","Netral",0,"amazing photo   eiffel tower  struck  lightening yesterday "
"962","Netral",0,"going  london next week  suggestions   plan  ride  train  paris   day  see  eiffel tower"
"963","Netral",0,"eiffel tower     strapped plz "
"964","Netral",0,"   eiffel tower stan account now "
"965","Negatif",-1,"thanks   help  paris police  apprehended len bulk len bulk   loot  tip   eiffel towe "
"966","Netral",0,"low qn numbers sa bys     friends "
"967","Positif",1,"good morning lods "
"968","Netral",0," thats  im   n e thats  eiffel towers coordinates"
"969","Positif",4,"bought   new giant lego eiffel tower   reward    work success    lately  deserve nice things"
"970","Positif",1," nice shot   eiffel tower"
"971","Netral",0,"trip  france  see  eiffel  trip  two friends cause  rushed   eyeful"
"972","Positif",1,"paris france eiffel tower city lights night top view "
"973","Netral",0,"eiffel tower france  dream destination bestperformance withsam sam mangubat "
"974","Netral",0,"  knew   alby  soon eiffel tower"
"975","Positif",2,"  clouds seem like whirling  around eiffel tower nice photo "
"976","Netral",0," ngl  mightve ran    eiffel tower  chasing "
"977","Positif",1,"im getting home   eiffel like ten minutes ago"
"978","Positif",1,"eiffel listen   go away hera  important theres something  please stop talking youre  goi "
"979","Positif",2,"yes   like  visit  eiffel tower  hear   lovely place  visit  time  year "
"980","Netral",0," hes  baguette croissant  eiffel tower   one"
"981","Netral",0," flying past  eiffel tower   supposed    orlando "
"982","Positif",3,"  think    solid defnece  wins  tournaments  one achilles heal  argentina  messi era "
"983","Netral",0,"pryce  wouldnt eiffel pa   hope youre hanging onto something kepler    eiffel pa "
"984","Netral",0,"im gonna  eiffel tower"
"985","Netral",0," sir please pay  leave"
"986","Netral",0,"  countries  places    true center   universe   country examples cn tower "
"987","Positif",1,"climb   top  eiffel tower   want  birds eyeview  paris "
"988","Positif",1," kevin  just asking  help packing someone help   goodness sake pizza dude  nowhere else   "
"989","Positif",1,"jacobi eiffel   just lean   big red button bang"
"990","Negatif",-1," dril   threat   white race   people hear "
"991","Positif",1,"   eiffel tower  france  like  question   particular question  course    highl "
"992","Negatif",-1," isnt even short     fault  afo  eiffel tower sized"
"993","Positif",1,"paris travel photoshootsolo street photographyla tour eiffel sunny chic "
"994","Negatif",-1," isnt even short     fault  afo  eiffel tower sized"
"995","Netral",0," cold heat  name suits  well born   cold season  always giving   much warmth   ve"
"996","Positif",3,"happy birthday  exos giant main rapper chanyeol  wanted  say thank      inspiration  many  "
"997","Positif",1,"rent  miraculous ladybug paris    lower  gotham    eiffel tower blown  bits every  day"
"998","Positif",1,"cast iron architecture fine art giclee print s antique art eiffel tower new orleans french architecture  "
"999","Netral",0,"   miniature   eiffel tower   desk "
"1000","Netral",0,"eiffel im going  drown  outer space  kind  sense   even make"
"1001","Netral",0," mona lisa meh gotta go   eiffel tower"
"1002","Negatif",-1,"im  life     time  cant die without standing  front   eiffel tower making  video   "
"1003","Positif",1,"  cutest airfive  think ive ever seen  real amazing part      detail just  "
"1004","Negatif",-5,"stupid ship stupid protocols stupid minkowski sorry eiffel   final act    pain   ass "
"1005","Netral",0," eiffel tower  paris  palestine "
"1006","Negatif",-1,"everytime  come home im forced  listen   radio   car    fuckinf bad  literally just peop "
"1007","Positif",3,"  loved going  see  arc de triomphe    always mostly empty doll loved seeing  amazing view "
"1008","Netral",0,"eiffel protocol c  currently  effect"
"1009","Positif",1,"kinda feel like getting eiffel towered   toaster amp air fryer  im   bath"
"1010","Netral",0," made  clay model   eiffel tower "
"1011","Netral",0," dont forget  eiffel tower lit "
"1012","Netral",0,"oh look  eiffel tower "
"1013","Negatif",-1,"  dude name michael used  ride motorcycles dick bigger   tower  aint talking  eiffel"
"1014","Positif",1," hug   im going  eiffel "
"1015","Positif",1,"dream job walking around  eiffel tower offering  take tourists pictures   making  pose like  "
"1016","Positif",1," lulu  dear  dont care   cooked   romantic dinner   dined  sunset  "
"1017","Netral",0,"eating   restaurant   eiffel tower  definitely   bucket list"
"1018","Netral",0," "
"1019","Netral",0," eiffel tower "
"1020","Positif",1,"  beautiful picture   eiffel tower  night"
"1021","Positif",2,"  awesome   price tag   fair   nearly feet tall   huge "
"1022","Positif",1,"teresa giudice  paris chic   poses near  eiffel tour amid  trip abroad  luisruelas "
"1023","Netral",0," lowkey goated  looking   eiffel tower   vibe"
"1024","Netral",0,"drafting     learned theres  eiffel tower emoji"
"1025","Positif",1,"convinced  man  buy  last eiffel tower    stock   wife returned  like minutes later"
"1026","Netral",0,"tripped  france eiffel "
"1027","Netral",0,"     lionel messi  done "
"1028","Netral",0,"   love  suck  sit   eiffel tower"
"1029","Netral",0,"minkowski                 together eiffel goo goo gjoob minkowsk "
"1030","Netral",0,"ive always wanted  see  eiffel tower  person  hope one day  can "
"1031","Netral",0," doug"
"1032","Netral",0,"stop telling everyone  live inside  eiffel tower"
"1033","Positif",1,"teresa giudice  paris chic   poses near  eiffel tour amid  trip abroad  luisruelas "
"1034","Positif",2," just learned  theres  new song topping  charts  super samples eiffel wow  back  ish"
"1035","Positif",4," oh cool  love france   love  eiffel tower  paris  lovely name named paris bro   truly obsessed"
"1036","Positif",1," im gonna take  piss   top   eiffel tower"
"1037","Netral",0," big ben eiffel tower mt fuji  still exist man  didnt go anywhere"
"1038","Positif",1," pure"
"1039","Positif",1," paris tour eiffel jacques hlian paris chanson  france  love listen   mobile  "
"1040","Netral",0,"adults men eiffel tower il def london fc ky "
"1041","Netral",0," mercedes sl m  one pretty cheap tho  superyatch mansions one   day boe "
"1042","Positif",1,"  hit europop group eiffel  way  look great "
"1043","Netral",0,"eiffel please pull  pants back  "
"1044","Positif",1,"  love  eiffel tower"
"1045","Netral",0," didnt ask   eiffel "
"1046","Positif",1," okay   doug eiffel daniel jacobi qrow branwen yang xaoi long annnnd thats probably  top "
"1047","Positif",1," saw  live  brighton   years agoutterly monumental hearing  live  room  choice acid eiffel   list"
"1048","Negatif",-1," cant begin  explain  much  want  new lego eiffel tower   fucking feet tall"
"1049","Netral",0," sabrina spellman can come back   dead    riverdale  love quinn can come back  push joe goldberg o"
"1050","Positif",1," first muse actually  wolf oc  cannon character wise    mr doug eiffel   first"
"1051","Netral",0," oh boy   go sasha james tma elias bouchard tma jude perry tma gun powder tim  mechanisms doug "
"1052","Positif",1,"teresa giudice  paris chic   poses near  eiffel tour amid  trip abroad  luis ruelas "
"1053","Positif",1,"teresa giudice  paris chic   poses near  eiffel tour amid  trip abroad  luis ruelas "
"1054","Positif",1,"close enough "
"1055","Netral",0,"   literally  italy duh  eiffel tower  obvi  rome"
"1056","Netral",0,"someone compliments seokjin seokjin   know   eiffel tower can become cm taller   summer due "
"1057","Positif",2,"  love   cant afford   now  want  eiffel tower  released"
"1058","Positif",2," daniel   minding   business   pretty much just     safe house aside "
"1059","Positif",2,"snoopy  tbe cool yule gang  lit  eiffel tower tree  kicked  another festive night  shows activit "
"1060","Netral",0," uh yyes maybe okay "
"1061","Positif",1,"wahala  like  go honeymoon  eiffel tower "
"1062","Negatif",-1,"yagi afos brother  small  weak yoichi  actually  average heightwise  afo   eiffel tower"
"1063","Netral",0,"  cap"
"1064","Netral",0,"  see     drafts  show  "
"1065","Netral",0,"   one   eiffels   pants "
"1066","Netral",0,"yes    pp  yes   size   eiffel tower   doesnt mean    constantly talk   "
"1067","Netral",0," betty gofman com  torre eiffel na roupinha "
"1068","Positif",1," came across  message   lead gaslighting  people  bit  resign given  coming release   th month "
"1069","Netral",0,"reminiscing s music vengaboys aqua ace  base real mccoy haddaway dr alban mr president sash moderntalki "
"1070","Negatif",-1,"    hear  shitty eiffel blue remixcover one  time im going    fucking aneurysm "
"1071","Positif",2," uh like half way yeah yeah definitely  good "
"1072","Netral",0,"   miniature   eiffel tower   desk "
"1073","Positif",1,"  want  see someone get    create  super eiffel tower"
"1074","Netral",0," uh huh   far along  "
"1075","Netral",0," eiffel tower  "
"1076","Negatif",-1,"wait   actual fuck eiffel "
"1077","Positif",1,"   definitely  right thing  need  focus  little    future"
"1078","Negatif",-1,"never miss eiffel tower   evening "
"1079","Netral",0,"eiffel   changing growing learning hilbert evolving"
"1080","Negatif",-2," im gladi miss    simply think eiffel   teenage dirtbag listener"
"1081","Netral",0,"eiffel da ba dee via yeah  estimate  years "
"1082","Netral",0," jealousy aint  good look maybe  can eiffel tower  big girl  one   b "
"1083","Netral",0,"  fellas just photoshop  eiffel tower  put    chaussee "
"1084","Positif",1,"excited  share  latest addition   shop eiffel tower pop  card "
"1085","Positif",2," fun fact  real eiffel tower handrails  also made  hot dogs"
"1086","Negatif",-2," pray  dick get big   eiffel tower   can fuck  world  hours"
"1087","Netral",0,"eiffel hey chin  soldier  almost  just one  day    done minkowski yeah one "
"1088","Netral",0," yeeah  gf hits    eiffel da ba dee da ba di "
"1089","Netral",0,"eiffel  man  rebuilt babel kazsxq "
"1090","Positif",1,"   wondering   well see "
"1091","Positif",2,"im pretty sure  can jump   eiffel tower  just walk away like nothing happened"
"1092","Negatif",-1,"people   freaking    eiffel tower disappeared   showed    place "
"1093","Netral",0," took  school   bio  damn fast "
"1094","Netral",0," idk  youre interestedbut    old tracks playlist  saved  put  spotify   w "
"1095","Netral",0,"    eiffel tower  sell   highest bidder"
"1096","Negatif",-1,"  incredibly huge crock  hubris   actually rival  pyramids   eiffel tower   o "
"1097","Netral",0," real  true   doug eiffel"
"1098","Netral",0,"   bunch  posers   eiffel tower today varnumrichardsonautrey "
"1099","Netral",0,"   fuvk  voting matt istg  will literally throw u   eiffel tower "
"1100","Netral",0," people"
"1101","Netral",0,"   laughing   french ship    french flag  eiffel tower"
"1102","Netral",0,"flying  europe  hrs  nft bags  packed   need  finish packing  actual bags  recommenda "
"1103","Positif",1," nice    talking "
"1104","Netral",0,"eiffel tower lighted decor eiffel tower oval light  jar eiffel tower jar light eiffel tower  poppy light  "
"1105","Positif",2,"jill  just  good vibes love  "
"1106","Positif",1,"jill scott national treasure "
"1107","Positif",1,"jill  win "
"1108","Netral",0," sorry   bretn separatist ass  screaming   eiffel tower sign   crperie looks fun tho "
"1109","Netral",0," moon gets inches farther   eiffel tower landed   car  later married  owner   car"
"1110","Netral",0," uh    assignment  mean  knew  totalllyyyyy yup"
"1111","Netral",0,"  bring home   travel       word souvenir reminds    little eiffel towe "
"1112","Netral",0,"heres youve drawn mehaving sexual congress   eiffel tower  eiffel tower  sexual congress  m "
"1113","Netral",0," yes   within   thread"
"1114","Netral",0," tim stoker jon sasha amp martin blackwood cecil gershwin palmer amp carlos doug eiffel samuel lambert amp hera "
"1115","Netral",0,"   guy serious thats   eiffel tower thats just  transmission tower theyre used  carry pow"
"1116","Positif",1,"women want surprised man   obvious booking  flight   eiffel tower clearly gonna propose  shopp "
"1117","Negatif",-1,"man   bored dear listeners"
"1118","Netral",0,"  urban meyer amp  osu days  never see  flag   field lmao"
"1119","Netral",0,"    gonna eiffel tower"
"1120","Positif",1," belly tastes like   danced   eiffel tower"
"1121","Positif",1,"   goat  guys like cruyffpuskasdi stefano cant  demeaned"
"1122","Netral",0,"    mean youre building  eiffel tower watching soccer football   knows  "
"1123","Positif",1,"  think  unfair  demean group stages   wc  like theyre friendly warmu "
"1124","Positif",1," please watch  second half  italy messi      strong europea "
"1125","Negatif",-2," ooo spot   hes making  mockery   now   ego issues"
"1126","Positif",1,"love  eiffel blue da ba dee gitaar wtab fingerstyle guitar via "
"1127","Netral",0," coron island fountain  trevi rome new zealand aurora borialis season paris eiffel tower new york"
"1128","Positif",2,"     never  messi vs ronaldo debate just privileged  see  best   lifetime alhamdulillah"
"1129","Negatif",-1,"  cant stand  antics manchild    high pedigree player absolutely annoying lol"
"1130","Netral",0,"   also  goat brother guy   colossal leader  lifts portugal   messi d "
"1131","Negatif",-1,"   absolutely nothing  tournament except  assist  brazil  riled "
"1132","Positif",1," im   keen  cristiano  ill call   goat    talking  qua "
"1133","Netral",0,"imagining rappers learning  nick fuentes"
"1134","Netral",0,"music now playing blue da ba dee radio edit eiffel  "
"1135","Negatif",-1," forget maradona  maradona    rubbish side  done   messi "
"1136","Netral",0,"  just pray  either messi  ronaldo win  wc  will  unjust    atleast "
"1137","Netral",0," got  paris   didnt climb  eiffel tower "
"1138","Positif",1,"listen greatest hits now blue da ba dee radio edit eiffel  "
"1139","Positif",1,"  quality squad  win   pele  sorrounded  garrinchacarlos alberto etc fo "
"1140","Positif",2,"born  raised   eiffel tower right beside  champs elysees  know madeline shes  best friend "
"1141","Positif",1,"children   remember    trying  teach   remember          amazing"
"1142","Negatif",-1," im  big  stats   cant overlook  astronomical numbers   day   "
"1143","Netral",0," today "
"1144","Netral",0,"adults men cordaes training al  eiffel tower il tied "
"1145","Netral",0,"  call   eiffel tower  broward "
"1146","Netral",0,"tyler  young gomez eiffel tower neow"
"1147","Positif",1," barcelona career  different copa america  different calling  better  marado "
"1148","Positif",2,"  dont expect   perform miracle every time cant carry  team like  used t "
"1149","Positif",1,"   age    set  world cups   magic      didnt "
"1150","Netral",0," yeah  similar situation  time around "
"1151","Netral",0,"featured art   day   eiffel tower buy   "
"1152","Netral",0,"   absolutely dreadful   first half    age   bring  magic wh "
"1153","Netral",0,"  emotions "
"1154","Negatif",-1,"    unpredictable   pakistan cricket  never know  arg will turn  "
"1155","Netral",0," wc goat   even  thing man lol"
"1156","Netral",0," come  talha  know   will write stories tonight  will write fiction like "
"1157","Netral",0,"  feel like    crazy frog   daughter except   never  warm fuzzy enjoyme "
"1158","Netral",0,"  still doug eiffel im  sure wanna find  together"
"1159","Positif",2," theyll go    meet  good teamwhich fortunately    time around"
"1160","Negatif",-1," brian enomgmt alec eiffelpixies danielbat  lashes jeremypearl jam clint eastwoodgoril "
"1161","Netral",0,"   wc vijay   ea sports version"
"1162","Netral",0," person   year   gustave eiffel    year completed  eiffel tower   world exposition"
"1163","Netral",0,"  thought argentina  expected  beat france according   copa form"
"1164","Netral",0," halaat waly  hain wesy"
"1165","Positif",1,"  stats mean nothing  grand scheme  things   goat pedigree im referring  one can "
"1166","Negatif",-1,"nobody eiffel coughs  heheheeeee  comes plot"
"1167","Positif",1," yeah  know gotta avoid france   costs theyll  fine  denmark"
"1168","Positif",1," na na need  confidence going  knockouts  avoid france   long  possible    chance"
"1169","Netral",0,"naked truth secret life series eiffel italian edition fjensxs "
"1170","Netral",0," eiffel tower   background "
"1171","Positif",1,"  mean maradona im   camp  fine  muller come  man "
"1172","Positif",2," need  win  poland game poland werent  lively today  arg need   game back"
"1173","Positif",1,"ive    top   eiffel tower many  time "
"1174","Negatif",-2,"  ugly  cagey till  broke  deadlock   massive moment  inspiration still think argentina sh "
"1175","Positif",1,"teresa giudice  paris chic   poses near  eiffel tour amid  trip abroad  luisruelas "
"1176","Positif",1," rebuilt  eiffel tower  vegas  people can safely view  without visiting paris"
"1177","Netral",0,"  scrolled  far      one mentioned eiffel blue "
"1178","Netral",0,"check   listing  just added   closet ck flat eiffel tower cake decorating supplies chocol "
"1179","Netral",0," enjoying  touch  fall   view   eiffel tower  sailing  seine river  "
"1180","Netral",0,"just  hanging   paris watching  eiffel tower   thing "
"1181","Netral",0," "
"1182","Netral",0," daughter  taken  listening  blue da ba dee  eiffel  let  tell   nostalgia   song  w"
"1183","Netral",0,"just posted  photo le cafe eiffel tower "
"1184","Negatif",-2," finally understand  eiffel tower joke   also want     jam reiderson "
"1185","Positif",1,"teresa giudice  parisian chic   poses near  eiffel tower   middle   trip abroad  luisruelas "
"1186","Netral",0,"eiffel tower  confirm hai "
"1187","Netral",0,"eiffel tower new years "
"1188","Negatif",-1,"dick bigger   tower  aint talkin bout eiffel"
"1189","Netral",0," yeah    eiffel towered"
"1190","Netral",0,"eiffel tower new years "
"1191","Negatif",-2,"top  eiffel tower   visible due  mist  fog today   rather cold cloudy day "
"1192","Netral",0," made  clay model   eiffel tower "
"1193","Positif",1," think  reason  people keep sampling eiffel s blue da  dee     best song   time"
"1194","Positif",4," always beautiful  see    see  happy    like     feel  closeness thank "
"1195","Positif",1,"teresa giudice  paris chic   poses near  eiffel tour amid  trip abroad  luis ruelas "
"1196","Positif",1," eyes  reflect  beautiful soul kerembrsin atodotren "
"1197","Netral",0,"kerem    beautifull "
"1198","Negatif",-1," will burn  eiffel tower "
"1199","Positif",2,"thats  good targussy  targick    shining like  eiffel tower wtf "
"1200","Netral",0," seen  new eiffel tower  gawd"
"1201","Negatif",-2," pray  dick get big   eiffel tower   can fuck  world  hours"
"1202","Negatif",-2," husband just broke  eiffel tower ornamentis   discomfort yall saying  can leave      file"
"1203","Negatif",-1," will burn  eiffel tower "
"1204","Positif",1," erm garrets awesome teachings   eiffel tower solos "
"1205","Netral",0," jump   eiffel tower"
"1206","Netral",0," day kujo tenn    many places  want  visit   really want  go  paris  see  eiffel tower "
"1207","Netral",0,"took  photobooth pictures   course    go   little spot went   eiffel tower  agai "
"1208","Positif",1," still think france will flop anyway well discuss  later"
"1209","Netral",0,"  pre tournament favourites  going     hand  injury  benzema  became blessing "
"1210","Positif",1," yeah    subs now scaloni hasnt really played  best xi"
"1211","Netral",0," looks like replay   debacle till now  desperately need  moment  inspiration"
"1212","Netral",0," eiffel tower posing behind catherine deneuve "
"1213","Positif",1," need  magic soon"
"1214","Positif",1," thank  "
"1215","Netral",0,"  associate  child rapists"
"1216","Positif",3,"    beautiful place n   livedthe inside   eye treasure light blue  classic hig"
"1217","Netral",0," ok groomer "
"1218","Positif",1," upper half     seen  behind  building   trees   bright sunny day h"
"1219","Netral",0,"vega goal coming  ffs"
"1220","Negatif",-1," build  rooftop water tank   shape   teletubby  go   effort  installing  replica   eiffel "
"1221","Netral",0," eiffel tower lighting   paris sky "
"1222","Netral",0,"longform books "
"1223","Positif",1,"  newest paris attraction  cares   eiffel tower   can   tower made  broks"
"1224","Negatif",-1,"whoever decided  sample eiffel fuck  actually write something"
"1225","Netral",0," resign"
"1226","Positif",1," seems like  dont know  lets hope   nd half"
"1227","Netral",0,"adolf hitler   german officials walking  front   eiffel tower  paris  "
"1228","Netral",0,"horrendous mins absolutely nothing   final third  goal mouth action argentina better turn   heat "
"1229","Netral",0,"top activities     vacation  europe snowboard   swiss alps  mushrooms  amsterdam deny "
"1230","Positif",1,"late nights  glowing eiffel tower "
"1231","Positif",2," draw aint good   need  win   costs"
"1232","Netral",0,"just posted  photo eiffel tower "
"1233","Positif",1," absolutely playing like  dont need points"
"1234","Positif",1,"epub download landmarks   world coloring book famous monuments coloring book  adults colosseum eiffel  "
"1235","Negatif",-1,"jacobi unfortunately eiffel minkowski lovelace oh shut "
"1236","Negatif",-1," dreadful mins"
"1237","Netral",0," eiffel tower "
"1238","Netral",0,"adults men carib wpb fl def eiffel tower il "
"1239","Positif",1,"hilbert well    please extend  arm officer eiffel  need  take   cut  huge slurp  whatev"
"1240","Netral",0," eiffel tower "
"1241","Netral",0," ever heard  eiffel tower "
"1242","Positif",1,"hilbert well    please extend  arm officer eiffel  need  take   cut  huge slurp o "
"1243","Negatif",-2,"suspect  bc wtff  wrong   "
"1244","Positif",2,"  hear  eiffel tower  beautiful  time  year    def like  experience  "
"1245","Negatif",-1,"   artistic shot  way  lens flare   street lights run counter   beams  th "
"1246","Netral",0,"call  paris france  cause im looking  build  eiffel tower "
"1247","Negatif",-2,"de paul bc can   make  silly mistakes please"
"1248","Netral",0,"   miniature   eiffel tower   desk "
"1249","Netral",0,"eiffel  taken   long  realize  running  everyone else means  youre alone    "
"1250","Netral",0,"rihanna  front   tour eiffel "
"1251","Netral",0,"  feel  crezy    parachute   eiffel tower  paris   girlfriends table playing  "
"1252","Positif",1,"   describe  like  eiffel  weirdo "
"1253","Netral",0,"   better job   rather researching  sun light falls  eiffel tower "
"1254","Positif",1,"tonight feels like liquor   eiffel tower "
"1255","Netral",0," made  clay model   eiffel tower "
"1256","Negatif",-2,"poor eiffels just trying  keep everyone  dying"
"1257","Netral",0," ton wali makeup aurat apne ghr  eiffel tower laga le  behtar hoga"
"1258","Positif",1,"  reeses peanut butter cups yes love "
"1259","Positif",2," thank  alex eiffel however im well aware  eric wynalda   "
"1260","Netral",0," dozens  people can climb  steps   eiffel tower simultaneously  man  "
"1261","Positif",2," love  million dollar company memos  look like theyre written   small child"
"1262","Positif",1,"grab  seat  make  stylish click   purchase details "
"1263","Negatif",-1,"  dont know    anxious   really hope  will"
"1264","Netral",0," daughter  taken  listening  blue da ba dee  eiffel  let  tell   nostalgia   song "
"1265","Netral",0,"     know  paris isnt just  guy   eiffel tower costume"
"1266","Negatif",-1,"professional cock sucker "
"1267","Netral",0,"eiffel    audio log  communications officer doug eiffel speaking   comms room   uss hephaestus station"
"1268","Netral",0," oh haha throwing    eiffel tower"
"1269","Negatif",-1,"  wanna eiffel flower  lol thats terrible "
"1270","Netral",0," went  minutes   left  eiffel tower "
"1271","Negatif",-2,"mayday mayday mayday  ships  sea   doug eiffel  board  uss horrible unending nightmare  "
"1272","Positif",1,"teresa giudice   epitome  parisian chic   newsboy cap   poses near  eiffel tower   trip "
"1273","Positif",1,"eiffel   okay captain lovelace   lambert  wait  lambert youre   one  fun "
"1274","Positif",1,"  eiffel tricolour   shorts  genius im trying  find something   england nike kit  s "
"1275","Positif",1,"sidenoteeiffel devised  structure consisting   four legged pylon  support  copper sheeting  made  "
"1276","Positif",1,"eiffel yeah   nice    beethoven hera bach orchestral suite number three  d major"
"1277","Positif",1,"teresa giudice  paris chic   poses near  eiffel tour amid  trip abroad  luis "
"1278","Netral",0," made  clay model   eiffel tower "
"1279","Netral",0,"    waiting foooor"
"1280","Positif",1,"climb   top  eiffel tower   want  birds eyeview  paris "
"1281","Positif",1,"congratulations  curtis da costa  making  th start  afc portchester  tuesday nights game  harves"
"1282","Positif",1," will love  behind  barriers   new video feature  takes  look  match days   different "
"1283","Netral",0,"full time brockenhurst afc portchester "
"1284","Negatif",-3,"actively losing  shit  okay wait sjgdjdv eiffel kidnapped someone  child  im  misunderstanding   "
"1285","Netral",0," today  taemins day today  sunday  sunday  gods day  todayss taemins day  becau"
"1286","Positif",1," encore stage  want taemin   precious really "
"1287","Positif",1,"  drive around  blocks   minutes   sun  go   paris   took  great shot   eiffel"
"1288","Negatif",-1,"door  advice hair  criminal outfit hits differently "
"1289","Negatif",-1,"  wanna go swimmingbut im already drowning  ur eyes  know ure  french    eiffel  u "
"1290","Positif",1,"  drive around  blocks   minutes   sun  go   paris   took  great shot  "
"1291","Negatif",-1," high street shops  really tacky ott furniture eg  foot tall diamant replica   eiffel tower  money"
